,Course Code,INSTITUTION and COURSE,EOS,Mid
270,DC240,"Marketing, Innovation and Technology",451,474
271,DC291,Arts (Joint Honours) - Media Studies,349,392
272,DC292,Arts (Joint Honours) - Law,356,388
273,DC293,Arts (Joint Honours) - International Languages,369,400
274,DC295,Arts (Joint Honours) - Politics,348,387
276,DT001,Product Design,433,464
277,DT028,Transport Operations and Technology,279,348
278,DT035,Electrical Services and Energy Management,293,340
279,DT066,Engineering (General Entry),400,457
280,DT101,Architecture (test and interview),#618,647
281,DT106,Planning and Environmental Management,312,337
282,DT110,Property Economics (Valuation Surveying),367,424
283,DT111,Quantity Surveying and Construction Economics,391,421
284,DT112,Geographic Science,287,335
285,DT117,Construction Management,356,373
286,DT175,Architectural Technology,388,425
287,DT201,Science (General Entry),464,477
288,DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341,403
289,DT204,Biomedical Science,501,512
290,DT205,Mathematical Sciences,315,363
291,DT206,Biomedical and Molecular Diagnostics,473,487
292,DT211,Computer Science (Infrastructure),381,414
293,DT220,Industrial Mathematics,300,317
294,DT221,Physics with Energy and Environment,348,436
295,DT222,Physics Technology,321,371
296,DT223,Human Nutrition and Dietetics,553,566
297,DT224,Optometry,487,529
298,DT225,Public Health Nutrition,440,476
299,DT227,Science with Nanotechnology,312,361
300,DT228,Computer Science,451,466
301,DT229,Clinical Measurement Science,491,509
302,DT235,Physics with Medical Physics and Bioengineering,357,403
303,DT282,Computer Science (International),377,402
304,DT299,Chemical Sciences with Medicinal Chemistry,420,445
305,DT302,Business Analytics,325,403
306,DT304,E-Commerce in Retailing,341,388
307,DT321,Business and Law,462,478
308,DT341,Marketing,400,419
309,DT343,Retail and Services Management,301,332
310,DT354,Business Computing,322,341
311,DT358,Logistics and Supply Chain Management,300,359
312,DT365,Business and Management,440,456
313,DT366,Accounting and Finance,432,454
314,DT398,Human Resource Management,375,388
315,DT399,Economics and Finance,437,465
316,DT401,International Hospitality Management,300,337
317,DT405,Culinary Science,308,377
318,DT407,Culinary Arts,271,342
319,DT412,Tourism Marketing,284,322
320,DT413,Event Management,356,389
321,DT416,Culinary Entrepreneurship,275,339
322,DT420,Nutraceuticals in Health and Nutrition,392,432
323,DT421,Food Innovation,321,366
324,DT422,Pharmaceutical Healthcare,397,423
325,DT491,Environmental Health,343,380
326,DT501,Music,#383,520
327,DT504,Film and Broadcasting,443,467
328,DT506,Commercial Modern Music,#468,835
329,DT508,Game Design,403,454
330,DT517,Languages and English Studies,326,419
331,DT518,Languages and International Tourism,307,357
332,DT529,Drama (Performance),#371,519
333,DT532,Law (LL.B.),422,441
335,DT544,Interior Design,#552,866
336,DT545,Design - Visual Communication,#667,897
337,DT546,Fine Art,#668,813
338,DT555,International Business and Languages,353,399
339,DT559,Photography,#700,926
340,DT571,Social Care,394,424
341,DT572,Early Childhood Education,385,403
342,DT582,Journalism,347,373
343,DT596,Print Media Technology and Management,252,311
344,DT597,Creative and Cultural Industries,280,369
346,DL821,"English, Media and Cultural Studies",211,317
347,DL822,Arts Management,209,319
348,DL823,Business Studies - Entrepreneurship and Management,260,316
349,DL825,Applied Psychology,349,413
350,DL826,Visual Communication Design,#736,989
351,DL827,Art,#583,902
