,Course_Code,Course_Title,finalPoints2021,EOS_2020,EOS_2019
513,DL840,Digital Marketing,509.0,,
514,DL841,English and Equality Studies,442.0,,
515,DL843,Film,378.0,,
516,DL844,Television,388.0,,
517,DL845,Design for Film (degree options),320.0,,
518,DN100,Architecture,567.0,,
519,DN120,Landscape Architecture,567.0,,
520,DN130,City Planning and Environmental Policy,555.0,,
521,DN150,Engineering (Common Entry),554.0,,
522,DN200,Science (options),625.0,,
523,DN201,Computer Science (Common Entry),474.0,,
524,DN230,Actuarial and Financial Studies,532.0,,
525,DN240,Sustainability,564.0,,
526,DN250,Agricultural Science (options),421.0,,
527,DN252,Dairy Business,307.0,,
528,DN253,Agri - Environmental Sciences,301.0,,
529,DN261,Food Science,309.0,,
530,DN262,Human Nutrition,316.0,,
531,DN271,Forestry,320.0,,
532,DN272,"Horticulture, Landscape and Sportsturf Management",305.0,,
533,DN300,Veterinary Medicine - Undergraduate Entry,314.0,,
534,DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),305.0,,
535,DN310,Veterinary Nursing,391.0,,
536,DN400,Medicine - Undergraduate Entry (HPAT required),336.0,,
537,DN401,Medicine - Graduate Entry (GAMSAT required),331.0,,
538,DN410,Radiography,371.0,,
539,DN411,Radiography - Graduate Entry,303.0,,
540,DN420,Physiotherapy,302.0,,
541,DN425,Health and Performance Science,319.0,,
542,DN430,Sport and Exercise Management,320.0,,
543,DN440,"Biomedical, Health and Life Sciences",308.0,,
544,DN450,General Nursing,352.0,,
545,DN451,Children`s and General Nursing (Integrated),440.0,,
546,DN452,Midwifery,366.0,,
547,DN453,Mental Health Nursing,398.0,,
548,DN520,Joint Honours (options),300.0,,
549,DN530,Humanities (options),477.0,,
550,DN541,Modern Languages (options),301.0,,
551,DN600,Law (options),342.0,,
552,DN610,Business and Law,368.0,,
553,DN650,Commerce,348.0,,
554,DN660,Commerce International (options),,,
555,DN670,Economics and Finance,379.0,,
556,DN700,Social Sciences (options),377.0,,
557,DN710,Economics,303.0,,
558,DN720,Psychology,285.0,,
559,DN750,Social Policy and Sociology,298.0,,
560,DS602,Computing and Multimedia (Level 6 - Higher Certificat,300.0,,
561,DS603,Computing and Multimedia (Level 6 - Certificat,318.0,,
562,DS701,Business,287.0,,
563,DS702,Computing and Multimedia (Level 7),291.0,,
564,DT001,Product Design,301.0,,
565,DT028,Transport Operations and Technology,252.0,,
566,DT035,Electrical Services and Energy Management,790.0,,
567,DT066,Engineering (General Entry),331.0,,
568,DT101,Architecture (test and interview),406.0,,
569,DT106,Planning and Environmental Management,218.0,,
570,DT110,Property Economics (Valuation Surveying),252.0,,
571,DT111,Quantity Surveying and Construction Economics,235.0,,
572,DT112,Geographic Science,230.0,,
573,DT117,Construction Management,302.0,,
574,DT175,Architectural Technology,304.0,,
575,DT201,Science (General Entry),273.0,,
576,DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),377.0,,
577,DT204,Biomedical Science,300.0,,
578,DT205,Mathematical Sciences,400.0,,
579,DT206,Biomedical and Molecular Diagnostics,312.0,,
580,DT211,Computer Science (Infrastructure),331.0,,
581,DT220,Industrial Mathematics,304.0,,
582,DT221,Physics with Energy and Environment,413.0,,
583,DT222,Physics Technology,336.0,,
584,DT223,Human Nutrition and Dietetics,366.0,,
585,DT224,Optometry,381.0,,
586,DT225,Public Health Nutrition,356.0,,
587,DT227,Science with Nanotechnology,301.0,,
588,DT228,Computer Science,445.0,,
589,DT229,Clinical Measurement Science,510.0,,
