,Course_Code,Course_Title,EOS_2019,Mid,finalPoints2019
288,DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341.0,403,341.0
289,DT204,Biomedical Science,501.0,512,501.0
290,DT205,Mathematical Sciences,315.0,363,315.0
291,DT206,Biomedical and Molecular Diagnostics,473.0,487,473.0
292,DT211,Computer Science (Infrastructure),381.0,414,381.0
293,DT220,Industrial Mathematics,300.0,317,300.0
294,DT221,Physics with Energy and Environment,348.0,436,348.0
295,DT222,Physics Technology,321.0,371,321.0
296,DT223,Human Nutrition and Dietetics,553.0,566,553.0
297,DT224,Optometry,487.0,529,487.0
298,DT225,Public Health Nutrition,440.0,476,440.0
299,DT227,Science with Nanotechnology,312.0,361,312.0
300,DT228,Computer Science,451.0,466,451.0
301,DT229,Clinical Measurement Science,491.0,509,491.0
302,DT235,Physics with Medical Physics and Bioengineering,357.0,403,357.0
303,DT282,Computer Science (International),377.0,402,377.0
304,DT299,Chemical Sciences with Medicinal Chemistry,420.0,445,420.0
305,DT302,Business Analytics,325.0,403,325.0
306,DT304,E-Commerce in Retailing,341.0,388,341.0
307,DT321,Business and Law,462.0,478,462.0
308,DT341,Marketing,400.0,419,400.0
309,DT343,Retail and Services Management,301.0,332,301.0
310,DT354,Business Computing,322.0,341,322.0
311,DT358,Logistics and Supply Chain Management,300.0,359,300.0
312,DT365,Business and Management,440.0,456,440.0
313,DT366,Accounting and Finance,432.0,454,432.0
314,DT398,Human Resource Management,375.0,388,375.0
315,DT399,Economics and Finance,437.0,465,437.0
316,DT401,International Hospitality Management,300.0,337,300.0
317,DT405,Culinary Science,308.0,377,308.0
318,DT407,Culinary Arts,271.0,342,271.0
319,DT412,Tourism Marketing,284.0,322,284.0
320,DT413,Event Management,356.0,389,356.0
321,DT416,Culinary Entrepreneurship,275.0,339,275.0
322,DT420,Nutraceuticals in Health and Nutrition,392.0,432,392.0
323,DT421,Food Innovation,321.0,366,321.0
324,DT422,Pharmaceutical Healthcare,397.0,423,397.0
325,DT491,Environmental Health,343.0,380,343.0
326,DT501,Music,,520,
327,DT504,Film and Broadcasting,443.0,467,443.0
328,DT506,Commercial Modern Music,,835,
329,DT508,Game Design,403.0,454,403.0
330,DT517,Languages and English Studies,326.0,419,326.0
331,DT518,Languages and International Tourism,307.0,357,307.0
332,DT529,Drama (Performance),,519,
333,DT532,Law (LL.B.),422.0,441,422.0
335,DT544,Interior Design,,866,
336,DT545,Design - Visual Communication,,897,
337,DT546,Fine Art,,813,
338,DT555,International Business and Languages,353.0,399,353.0
339,DT559,Photography,,926,
340,DT571,Social Care,394.0,424,394.0
341,DT572,Early Childhood Education,385.0,403,385.0
342,DT582,Journalism,347.0,373,347.0
343,DT596,Print Media Technology and Management,252.0,311,252.0
344,DT597,Creative and Cultural Industries,280.0,369,280.0
346,DL821,"English, Media and Cultural Studies",211.0,317,211.0
347,DL822,Arts Management,209.0,319,209.0
348,DL823,Business Studies - Entrepreneurship and Management,260.0,316,260.0
349,DL825,Applied Psychology,349.0,413,349.0
350,DL826,Visual Communication Design,,989,
351,DL827,Art,,902,
352,DL828,"3D Design, Modelmaking and Digital Art",,866,
353,DL829,Design for Stage and Screen (Costume Design),,1021,
354,DL830,Design for Stage and Screen (Makeup Design),,953,
355,DL831,Design for Stage and Screen (Production Design),,1073,
356,DL832,Animation,,1055,
357,DL833,Photography,,791,
358,DL834,Film and Television Production,,1011,
359,DL835,Creative Media Technologies,237.0,289,237.0
360,DL836,Creative Computing,217.0,326,217.0
361,DL837,New Media Studies,290.0,349,290.0
362,DL838,Creative Music Production,,873,
364,GC200,Business Studies (Cork),269.0,359,269.0
365,GC201,Accounting and Finance (Cork),251.0,388,251.0
366,GC230,Computing Science (Cork),228.0,327,228.0
367,GC300,Business Studies (Limerick),251.0,302,251.0
368,GC301,Accounting and Finance,307.0,314,307.0
369,GC302,"Business Studies - (HRM, Limerick)",269.0,269,269.0
370,GC305,International Hospitality Management (Limerick),327.0,327,327.0
371,GC400,Business Studies (Dublin),246.0,297,246.0
372,GC401,Accounting and Finance (Dublin),181.0,309,181.0
373,GC402,"Business Studies (HRM, Dublin)",217.0,290,217.0
374,GC403,Law (Dublin),225.0,308,225.0
375,GC405,International Hospitality Management (Dublin),254.0,272,254.0
376,GC407,"Business Studies (Marketing, Dublin)",246.0,330,246.0
377,GC430,Computing Science (Dublin),217.0,269,217.0
378,GC450,Journalism and Visual Media (Dublin),227.0,307,227.0
380,GC489,Interior Architecture (Dublin),,361,
383,ID001,Accounting and Finance,229.0,291,229.0
384,ID002,Business Studies,285.0,366,285.0
387,BN101,Business,252.0,289,252.0
388,BN103,Business and Information Technology,254.0,290,254.0
389,BN104,Computing (Information Technology),260.0,293,260.0
390,BN107,Applied Social Studies in Social Care,300.0,328,300.0
391,BN108,Engineering (Common Entry with Award options),271.0,318,271.0
