Course_Code,Course_Title,finalPoints2021,EOS_2020,EOS_2019,Institution
CR335,Biological Sciences (Common Entry),473.0,420.0,381.0,Cork Institute of Technology
CR340,Analytical Chemistry with Quality Assurance,327.0,251.0,288.0,Cork Institute of Technology
CR360,Instrument Engineering,301.0,261.0,291.0,Cork Institute of Technology
CR365,Environmental Science and Sustainable Technology,262.0,253.0,334.0,Cork Institute of Technology
CR370,Agri-Biosciences,368.0,397.0,408.0,Cork Institute of Technology
CR400,Accounting,315.0,316.0,316.0,Cork Institute of Technology
CR420,Marketing,290.0,285.0,288.0,Cork Institute of Technology
CR425,International Business with Language,279.0,298.0,300.0,Cork Institute of Technology
CR430,Sport and Exercise Management,402.0,322.0,,Cork Institute of Technology
CR435,Coaching Science and Sports Pedagogy,410.0,,,Cork Institute of Technology
CR440,Montessori Education,408.0,288.0,,Cork Institute of Technology
CR500,Engineering (Common Entry),475.0,411.0,381.0,Cork Institute of Technology
CR510,Sustainable Energy Engineering,320.0,320.0,319.0,Cork Institute of Technology
CR520,Biomedical Engineering,444.0,444.0,434.0,Cork Institute of Technology
CR560,Architectural Technology,375.0,308.0,288.0,Cork Institute of Technology
CR565,Interior Architecture,431.0,359.0,336.0,Cork Institute of Technology
CR570,Quantity Surveying,375.0,336.0,279.0,Cork Institute of Technology
CR572,Construction Management,300.0,269.0,253.0,Cork Institute of Technology
CR580,Electrical Engineering,342.0,318.0,344.0,Cork Institute of Technology
CR590,Electronic Engineering,329.0,303.0,342.0,Cork Institute of Technology
CR600,Visual Communications at CIT Crawford College of A,280.0,,,Cork Institute of Technology
CR620,Early Childhood Education and Care,,357.0,,Cork Institute of Technology
CR640,Culinary Arts,,244.0,,Cork Institute of Technology
CR650,Beverage Industry Management,,209.0,,Cork Institute of Technology
CR655,Culinary Studies,,189.0,,Cork Institute of Technology
CR657,Hospitality Studies,,163.0,,Cork Institute of Technology
CR660,Tourism Management,246.0,252.0,249.0,Cork Institute of Technology
CR700,Theatre and Drama Studies at CIT Cork School of Music,609.0,645.0,,Cork Institute of Technology
CR805,Marine Electrotechnology at National Maritime College of Ireland,,235.0,,Cork Institute of Technology
CR888,Information Technology,,290.0,,Cork Institute of Technology
CR930,Home Economics and Business,518.0,,,Cork Institute of Technology
CT110,Computing in Information Technology,,210.0,,CCT College Dublin
CT116,Information Technology,,219.0,,CCT College Dublin
CT125,Information Technology,242.0,220.0,235.0,CCT College Dublin
CT325,Business,253.0,281.0,,CCT College Dublin
CW006,Business,,,,Institute of Technology Carlow
CW018,Business (options),307.0,248.0,327.0,Institute of Technology Carlow
CW027,Sustainable Farm Management and Agribusiness,,268.0,,Institute of Technology Carlow
CW028,Early Childhood Education and Care,260.0,252.0,252.0,Institute of Technology Carlow
CW037,Business (options),,195.0,,Institute of Technology Carlow
CW038,"Art (portfolio, Wexford)",700.0,700.0,,Institute of Technology Carlow
CW047,Visual Communications and Design,,181.0,,Institute of Technology Carlow
CW057,Art (portfolio),,700.0,,Institute of Technology Carlow
CW058,Tourism and Event Management (Wexford),292.0,298.0,252.0,Institute of Technology Carlow
CW068,Applied Social Studies in Professional Social Care,250.0,245.0,251.0,Institute of Technology Carlow
CW077,Tourism and Event Management,,217.0,,Institute of Technology Carlow
CW078,Sustainable Farm Management and Agribusiness,270.0,269.0,266.0,Institute of Technology Carlow
CW088,Visual Communications and Design,270.0,274.0,309.0,Institute of Technology Carlow
CW106,Physiology and Health Science,,451.0,,Institute of Technology Carlow
CW107,Analytical Science,,277.0,,Institute of Technology Carlow
CW108,Science (options),266.0,261.0,261.0,Institute of Technology Carlow
CW116,Pharmacy Technician Studies,,250.0,,Institute of Technology Carlow
CW117,Biosciences,,205.0,,Institute of Technology Carlow
CW126,Science - Applied Biology or Applied Chemistry,,191.0,,Institute of Technology Carlow
CW128,Brewing and Distilling,307.0,263.0,271.0,Institute of Technology Carlow
CW138,Sport and Exercise Science,423.0,423.0,,Institute of Technology Carlow
CW148,Strength and Conditioning,388.0,379.0,,Institute of Technology Carlow
CW178,Sport Science (options),,,399.0,Institute of Technology Carlow
CW188,Sport Rehabilitation and Athletic Therapy,451.0,448.0,454.0,Institute of Technology Carlow
CW206,Computing - Applications or Programming,,235.0,,Institute of Technology Carlow
CW207,Software Development,,244.0,,Institute of Technology Carlow
CW208,Computer Games Development,272.0,279.0,281.0,Institute of Technology Carlow
CW217,Information Technology Management,,234.0,,Institute of Technology Carlow
CW227,Cybercrime and IT Security,,242.0,,Institute of Technology Carlow
CW237,Computing in Interactive Digital Art and Design,,212.0,,Institute of Technology Carlow
CW238,Software Development,295.0,297.0,300.0,Institute of Technology Carlow
CW248,Information Technology Management,293.0,285.0,307.0,Institute of Technology Carlow
CW258,Cybercrime and IT Security,292.0,293.0,300.0,Institute of Technology Carlow
CW268,Computing in Interactive Digital Art and Design,291.0,287.0,274.0,Institute of Technology Carlow
CW407,Architectural Technology,,188.0,,Institute of Technology Carlow
CW417,Construction Management with Building Services,,220.0,,Institute of Technology Carlow
CW427,Civil Engineering,,199.0,,Institute of Technology Carlow
CW438,Construction (options),251.0,272.0,271.0,Institute of Technology Carlow
CW468,Architectural Technology,283.0,262.0,252.0,Institute of Technology Carlow
CW478,Civil Engineering,465.0,433.0,348.0,Institute of Technology Carlow
CW507,Aircraft Systems,,294.0,,Institute of Technology Carlow
CW517,Mechanical Engineering,,276.0,,Institute of Technology Carlow
CW527,Electronic Engineering,,227.0,,Institute of Technology Carlow
CW547,TV and Media Production,,301.0,,Institute of Technology Carlow
CW548,Mechanical Engineering,328.0,321.0,310.0,Institute of Technology Carlow
CW558,Electronic Systems,280.0,280.0,279.0,Institute of Technology Carlow
CW568,Aerospace Engineering,359.0,380.0,366.0,Institute of Technology Carlow
CW578,TV and Media Production,318.0,325.0,327.0,Institute of Technology Carlow
CW706,Legal Studies,,163.0,,Institute of Technology Carlow
CW707,Industrial Design,,207.0,,Institute of Technology Carlow
CW708,Law - LLB,292.0,302.0,298.0,Institute of Technology Carlow
CW717,Professional Social Care Practice,,288.0,,Institute of Technology Carlow
CW728,Product Design Innovation,246.0,252.0,286.0,Institute of Technology Carlow
CW748,Early Childhood Education and Care,290.0,270.0,265.0,Institute of Technology Carlow
CW758,Professional Social Care Practice,358.0,336.0,290.0,Institute of Technology Carlow
CW807,Sport Coaching and Business Management - GAA (portfolio),,700.0,,Institute of Technology Carlow
CW808,Media and Public Relations,247.0,251.0,248.0,Institute of Technology Carlow
CW817,Sport Coaching and Business Management - Rugby (portfolio),,700.0,,Institute of Technology Carlow
CW827,Sport Coaching and Business Management - Soccer (portfolio),,700.0,,Institute of Technology Carlow
CW837,Digital Marketing with Analytics,,200.0,,Institute of Technology Carlow
CW848,Digital Marketing with Analytics,269.0,269.0,279.0,Institute of Technology Carlow
CW858,"Sports Management and Coaching (options, portfolio)",700.0,700.0,,Institute of Technology Carlow
CW906,Business,,177.0,,Institute of Technology Carlow
CW908,Business (options),272.0,280.0,260.0,Institute of Technology Carlow
CW917,Business (options),,224.0,,Institute of Technology Carlow
CW926,Business with Law,,210.0,,Institute of Technology Carlow
CW936,Accounting,,231.0,,Institute of Technology Carlow
CW938,Business with Law,270.0,283.0,270.0,Institute of Technology Carlow
CW948,Accounting,319.0,300.0,301.0,Institute of Technology Carlow
DB500,Computing,234.0,218.0,242.0,Dublin Business School
DB501,Computing (Cloud Computing),,227.0,326.0,Dublin Business School
DB502,Computing (Data Analytics and Big Data),233.0,334.0,269.0,Dublin Business School
DB503,Computing (Software Development),,225.0,242.0,Dublin Business School
DB504,Computing (Web and Mobile Technology),,281.0,227.0,Dublin Business School
DB510,Audio Production and Music Project Management,217.0,223.0,233.0,Dublin Business School
